,event_id,member_id,group_id
0,243930425,6770985,26140018
1,244208851,234724627,25604533
2,pxlktnywnbfb,199563568,25973656
3,pxlktnywnbfb,208888939,25973656
4,244444551,1720391,18571126
5,244257722,1720391,18571126
6,243997614,1720391,18571126
7,243711748,1720391,18571126
8,243587675,1720391,18571126
9,243587675,194158019,18571126
10,243587675,186264694,18571126
11,243026202,1720391,18571126
12,243475377,1720391,18571126
13,243475377,194158019,18571126
14,243026119,1720391,18571126
15,242392448,1720391,18571126
16,241886029,1720391,18571126
17,241730271,1720391,18571126
18,240193613,1720391,18571126
19,239944117,1720391,18571126
20,238479980,1720391,18571126
21,237736080,1720391,18571126
22,234178292,1720391,18571126
23,234178292,186264694,18571126
24,234008415,1720391,18571126
25,234008415,194158019,18571126
26,234008415,186264694,18571126
27,233855117,1720391,18571126
28,233855117,194158019,18571126
29,233855117,186264694,18571126
30,233579762,1720391,18571126
31,233579670,1720391,18571126
32,233476897,1720391,18571126
33,233235249,1720391,18571126
34,232668583,1720391,18571126
35,232543768,1720391,18571126
36,231460443,1720391,18571126
37,231912692,1720391,18571126
38,231274089,1720391,18571126
39,231104506,1720391,18571126
40,231090426,1720391,18571126
41,230900387,1720391,18571126
42,230972361,1720391,18571126
43,230934372,1720391,18571126
44,239499597,125145522,18821254
45,239945716,125145522,18821254
46,236180427,125145522,18821254
47,233471167,125145522,18821254
48,233830558,125145522,18821254
49,232878772,125145522,18821254
50,231005223,125145522,18821254
51,230056380,125145522,18821254
52,227618948,125145522,18821254
53,227618936,125145522,18821254
54,227044616,125145522,18821254
55,226349699,125145522,18821254
56,244446326,1720391,20586888
57,244262821,1720391,20586888
58,243988264,1720391,20586888
59,243869312,1720391,20586888
60,243711769,1720391,20586888
61,243240368,1720391,20586888
62,243075137,1720391,20586888
63,242775576,1720391,20586888
64,241779221,1720391,20586888
65,240191942,1720391,20586888
66,240041511,1720391,20586888
67,nvrmwnywnbzb,13385553,26290037
68,zmrsvnywnbkb,208888939,25924179
69,243717563,236234217,26069682
70,zjjbvnywnbmb,236234217,26069682
71,243649886,162878732,24924087
72,242809790,162878732,24924087
73,242809790,228129103,24924087
74,242094947,162878732,24924087
75,241556640,73107772,24924087
76,241556640,231990970,24924087
77,241556640,106178752,24924087
78,241556640,162878732,24924087
79,240463114,228164044,24107423
80,pjpnwnywnbwb,88583272,26296592
81,thpnwnywnbwb,88583272,26296592
82,243191812,183856769,25828941
83,243191812,234044722,25828941
84,244176688,174329642,26207526
85,244176688,61526062,26207526
86,244176688,58264912,26207526
87,244260247,13371408,24811380
88,243952541,13371408,24811380
89,242620496,13371408,24811380
90,243534371,13371408,24811380
91,241622756,13371408,24811380
92,242493691,13371408,24811380
93,241622468,13371408,24811380
94,241361103,13371408,24811380
95,240244969,228221722,23972116
96,nwnntnywnbgc,191532521,25996638
97,nwnntnywnbgc,225854465,25996638
98,nwnntnywnbgc,232241567,25996638
99,cjvbwnywnbgc,191532521,25996638
100,cjvbwnywnbgc,225854465,25996638
101,cjvbwnywnbgc,232241567,25996638
102,nwnntnywnbwb,191532521,25996638
103,nwnntnywnbwb,225854465,25996638
104,nwnntnywnbwb,232241567,25996638
105,cjvbwnywnbwb,191532521,25996638
106,cjvbwnywnbwb,225854465,25996638
107,nwnntnywnbnb,191532521,25996638
108,nwnntnywnbnb,225854465,25996638
109,nwnntnywnbnb,232241567,25996638
110,nwnntnywnbnb,223039509,25996638
111,nwnntnywnbfb,191532521,25996638
112,nwnntnywnbfb,201164832,25996638
113,nwnntnywnbfb,225854465,25996638
114,zwgntnywnbjc,233389780,25988957
115,zwgntnywnbzb,233389780,25988957
116,241215543,191910306,24750651
117,244479480,186008461,26282355
118,244293547,184360544,26282355
119,244246979,184360544,26282355
120,244246979,163094212,26282355
121,241173421,230218823,23968092
122,241173421,6593526,23968092
123,241173421,202633909,23968092
124,241173421,11288886,23968092
125,240970877,11288886,23968092
126,244441929,235261229,25707458
127,243852102,235261229,25707458
