group1,group2,weight
1585196,1665418,1
1585196,6335372,1
1585196,11862932,1
1585196,19249559,3
1585196,22730657,2
1585196,19218850,1
1585196,21837219,1
1585196,20336043,4
1585196,18314669,1
1585196,18589616,3
1585196,18314164,1
1585196,9376702,1
1585196,1751502,1
1585196,18944977,1
1585196,18616278,1
1585196,1349592,7
1585196,17872862,1
1585196,18573279,1
1585196,23515107,2
1585196,22197221,8
1585196,19443174,2
1585196,20807142,1
1585196,22422502,1
1585196,526316,1
1585196,1642477,2
1585196,22736876,1
1585196,19828207,2
1585196,10016242,2
1585196,5327862,1
1585196,16548342,1
1585196,47094,1
1585196,18414590,1
1179719,535553,1
1179719,18798102,2
1179719,191516,4
1179719,788001,2
1179719,1728035,1
1179719,18855476,1
1179719,18955830,5
1179719,11294262,1
1179719,20181560,1
1179719,339011,2
1179719,168014,1
1179719,13560402,1
1179719,19030621,1
1179719,7130232,1
1179719,929402,1
1179719,710272,2
1179719,19713173,1
1179719,17487002,2
1179719,22374557,1
1179719,20186791,1
1179719,7836842,2
1179719,1324203,4
1179719,19828398,1
1179719,15335602,1
1179719,18297014,1
1179719,1578685,1
1179719,10178242,1
1179719,19556549,1
1179719,16062152,1
1179719,227528,2
1179719,18660552,1
1179719,11077852,1
1179719,7263452,1
1179719,25397992,1
1179719,18243826,1
1179719,14566132,2
1179719,15297782,1
1179719,2496252,1
1179719,6928642,1
1179719,18562307,2
1179719,12847372,1
1179719,19728145,1
1179719,19262745,1
1179719,1169709,1
1179719,19997487,1
1179719,1526075,1
1179719,1078077,1
1179719,5282132,1
1179719,1371991,3
1179719,18506072,4
1179719,18286946,1
1179719,5618532,1
1179719,19934054,1
1179719,11625832,1
1179719,1763190,1
1179719,18517376,1
1179719,1187715,4
1179719,16487812,1
1179719,10426762,1
1179719,23674770,3
1179719,19249559,1
1179719,18923420,1
1179719,22730657,1
1179719,11938732,1
1179719,18589616,1
1179719,18476981,1
1179719,9376702,1
1179719,23595967,1
1179719,19100119,1
1179719,20807142,3
1179719,25587693,2
1179719,1642477,1
1179719,10016242,1
1179719,5327862,7
1417288,1728035,1
1417288,19528743,1
1417288,18955830,1
1417288,22023226,1
1417288,8540732,1
1417288,1772099,1
1417288,339011,1
1417288,16607822,1
1417288,168014,1
1417288,15552112,1
1417288,1292918,1
1417288,929402,1
1417288,18672773,1
1417288,541319,9
1417288,19708553,1
1417288,1492619,1
1417288,1776274,3
1417288,18795154,1
1417288,7836842,1
1417288,18297014,1
1417288,1578685,1
1417288,4126912,3
1417288,16062152,1
1417288,19680459,1
1417288,4705492,3
1417288,11077852,1
1417288,8771812,1
1417288,22808815,1
1417288,15297782,1
1417288,2496252,1
1417288,21715712,1
1417288,1358081,2
1417288,18562307,1
1417288,18456837,1
1417288,19728145,1
1417288,19416348,1
1417288,1274150,1
1417288,18425641,1
1417288,1169709,2
1417288,4063542,1
1417288,1354051,1
1417288,11626822,1
1417288,5282132,1
1417288,19266390,1
1417288,18506072,2
1417288,18529135,1
1417288,14396812,1
1417288,21837219,1
1417288,3376042,2
1417288,18314669,2
1417288,711599,1
1417288,23112117,1
1417288,18977219,1
1417288,1349592,1
1417288,1576921,1
1417288,1498076,1
1417288,18573279,2
1417288,204767,1
1417288,20348898,1
1417288,22197221,1
1417288,19654655,1
18604107,339011,1
18604107,18495240,1
18604107,1102353,1
18604107,19030621,1
18604107,929402,4
18604107,1473660,1
168014,1358081,2
168014,981249,1
168014,19728145,3
168014,19416348,1
168014,1728035,2
168014,1169709,3
168014,1451826,1
168014,1697586,1
168014,18955830,1
168014,1526075,1
168014,1078077,1
168014,1354051,1
168014,1457232,1
168014,13560402,1
168014,5282132,1
168014,18677333,1
168014,18506072,2
168014,20129636,1
168014,20440175,3
168014,24039540,1
168014,929402,1
168014,1473660,1
168014,18517376,1
168014,710272,1
168014,1187715,2
168014,16487812,2
168014,18821254,1
168014,541319,5
168014,1492619,1
168014,20182158,1
168014,1776274,2
168014,18494105,1
168014,17487002,1
168014,22374557,1
168014,22730657,1
168014,21837219,1
168014,18801828,1
168014,3376042,1
168014,20336043,1
168014,1324203,1
168014,15335602,1
168014,18297014,2
168014,4126912,1
168014,18180033,1
168014,227528,1
168014,1751502,1
168014,11077852,1
168014,8771812,1
168014,19198182,1
168014,526316,1
168014,1642477,1
168014,18361585,1
168014,18232817,1
168014,18243826,1
168014,6629622,1
168014,47094,1
18399311,6928642,1
18399311,20129636,1
18399311,20384452,1
18399311,20166757,1
18399311,1578685,1
18602064,6928642,1
18602064,18795154,3
18602064,19262745,1
18602064,15552112,2
18602064,18468466,1
18602064,24568502,2
18602064,18592827,2
23742545,19728145,1
23742545,191516,1
23742545,19934054,1
23742545,1324203,1
23742545,18361585,1
23742545,11776502,1
23742545,18297014,1
17770582,24906881,1
17770582,23398017,1
17770582,1358081,1
17770582,7138452,2
17770582,18494105,1
17770582,10016162,1
17770582,21837219,1
17770582,1728035,1
17770582,19277993,1
17770582,18314164,2
17770582,1360698,1
17770582,1078077,1
17770582,9376702,2
17770582,6707902,1
17770582,14546632,1
17770582,13560402,5
17770582,18616278,2
17770582,1498076,1
17770582,8771812,2
3047512,1187715,3
3047512,12847372,1
3047512,19728145,3
3047512,1102353,1
3047512,15770262,1
3047512,20421535,1
3047512,2556962,1
3047512,4063542,1
3047512,18955830,1
3047512,22585660,1
3047512,339011,1
3047512,227528,1
3047512,1431882,1
3047512,1457232,1
3047512,1371991,1
3047512,22197221,1
3047512,18266348,1
3047512,6190702,6
3047512,18602480,2
3047512,1505523,1
3047512,929402,3
2150491,18562307,2
2150491,217795,1
2150491,18714758,1
2150491,14649032,1
2150491,19713173,1
2150491,18425641,1
2150491,18297014,1
2150491,18955830,1
2150491,1526075,1
2150491,18549438,1
20947040,535553,1
20947040,19194894,1
20947040,1102353,1
20947040,1728035,2
20947040,18955830,1
20947040,11294262,1
20947040,20181560,1
20947040,16321082,1
